Movie_Title,Release_Date,Wikipedia_URL,Genre,Director_1,Director_2,Cast_1,Cast_2,Cast_3,Cast_4,Cast_5,Budget,Revenue
10 Cloverfield Lane,3/8/16,https://en.wikipedia.org/wiki/10_Cloverfield_Lane,Suspense,Dan Trachtenberg,,Mary Elizabeth Winstead,John Goodman,John Gallagher,,,$15000000.00 ,$108300000.00 
13 Hours: The Secret Soldiers of Benghazi,1/15/16,https://en.wikipedia.org/wiki/13_Hours:_The_Secret_Soldiers_of_Benghazi,Ação,Michael Bay,,James Badge Dale,John Krasinski,Toby Stephens,Pablo Schreiber,Max Martini,$45000000.00 ,$69400000.00 
2 Guns,8/2/13,https://en.wikipedia.org/wiki/2_Guns,Ação,Baltasar Kormákur,,Mark Wahlberg,Denzel Washington,Paula Patton,Bill Paxton,Edward James Olmos,$61000000.00 ,$131900000.00 
21 Jump Street,3/16/12,https://en.wikipedia.org/wiki/21_Jump_Street_(film),Comédia,Phil Lord,Chris Miller,Jonah Hill,Channing Tatum,Ice Cube,Brie Larson,Rob Riggle,$55000000.00 ,$201500000.00 
22 Jump Street,6/4/14,https://en.wikipedia.org/wiki/22_Jump_Street,Ação,Phil Lord,Chris Miller,Channing Tatum,Jonah Hill,Ice Cube,,,$84500000.00 ,$331300000.00 
300: Rise of an Empire,3/4/14,https://en.wikipedia.org/wiki/300:_Rise_of_an_Empire,Ação,Noam Murro,,Rodrigo Santoro,Eva Green,Sullivan Stapleton,Hans Matheson,Lena Headey,$110000000.00 ,$337600000.00 
42,4/12/13,https://en.wikipedia.org/wiki/42_(film),Biografia,Brian Helgeland,,Harrison Ford,Chadwick Boseman,Christopher Meloni,Ryan Merriman,Andre Holland,$40000000.00 ,$97500000.00 
71,2/7/14,https://en.wikipedia.org/wiki/%252771_(film),Ação,Yann Demange,,Jack O'Connell,Richard Dormer,Sean Harris,Sam Reid,,$8100000.00 ,$2900000.00 
90 Minutes in Heaven,9/11/15,https://en.wikipedia.org/wiki/90_Minutes_in_Heaven_(film),Drama,Michael Polish,,Hayden Christensen,Kate Bosworth,Dwight Yoakam,Michael W. Smith,,$5000000.00 ,$4800000.00 
A Good Day to Die Hard,2/14/13,https://en.wikipedia.org/wiki/A_Good_Day_to_Die_Hard,Ação,John Moore,,Bruce Willis,Jai Courtney,Sebastian Koch,Yuliya Snigir,Radivoje Bukvić,$92000000.00 ,$304700000.00 
A Haunted House,1/11/13,https://en.wikipedia.org/wiki/A_Haunted_House_(film),Comédia,Michael Tiddes,,Marlon Wayans,Nick Swardson,David Koechner,Essence Atkins,Cedric the Entertainer,$2500000.00 ,$60100000.00 
A Haunted House 2,4/18/14,https://en.wikipedia.org/wiki/A_Haunted_House_2,Comédia,Michael Tiddes,,Marlon Wayans,Jaime Pressly,Essence Atkins,Cedric the Entertainer,Gabriel Iglesias,$4000000.00 ,$24000000.00 
A Long Way Down,2/10/14,https://en.wikipedia.org/wiki/A_Long_Way_Down_(film),Comédia,Pascal Chaumeil,,Toni Collette,Pierce Brosnan,Aaron Paul,Imogen Poots,,$22700000.00 ,$7100000.00 
A Most Violent Year,11/6/14,https://en.wikipedia.org/wiki/A_Most_Violent_Year,Ação,J. C. Chandor,,Oscar Isaac,Jessica Chastain,Alessandro Nivola,David Oyelowo,Albert Brooks,$20000000.00 ,$12000000.00 
